emp_no,first_name,last_name,salary,from_date,to_date,title
19352,Yuchang,Gerlach,53063,1996-08-30,1996-10-27,Staff
19724,Visit,Hasham,69399,1988-09-09,1989-09-09,Senior Staff
19763,Sudhanshu,Pouyioutas,40000,1994-06-28,1995-06-28,Assistant Engineer
19978,Weicheng,Karunanithi,52644,1991-03-07,1992-03-06,Senior Staff
20186,Jianhua,Narahari,57321,1991-09-12,1992-09-11,Senior Engineer
20911,Susumu,Mayerwieser,40000,1992-08-02,1993-08-02,Senior Staff
21107,Taiji,Speek,53822,1991-04-08,1992-04-07,Engineer
21272,Thodoros,Krupka,40000,1996-01-03,1997-01-02,Staff
21298,Tiina,Maksimenko,40000,1992-03-21,1993-03-21,Engineer
21966,Kristina,Setlzner,76196,1992-09-08,1993-05-14,Staff
22461,Francoise,Xiaoshan,40000,1991-03-07,1992-03-06,Staff
22700,Rafael,Demizu,40000,1991-09-12,1992-09-11,Engineer
22774,Alair,Simmel,40000,1996-01-03,1997-01-02,Senior Staff
23584,Shaleah,Genther,45910,1991-10-01,1992-09-30,Technique Leader
23592,Marek,Templeman,68278,1991-03-07,1992-03-06,Senior Staff
23823,Halsur,Polupanov,40000,1991-09-12,1992-09-11,Engineer
23858,Aloke,Chachaty,61292,1991-10-01,1992-09-30,Senior Staff
24193,Subir,Swab,40642,1989-12-17,1990-12-17,Senior Engineer
24261,Bikash,Uludag,68689,1992-04-25,1992-08-20,Senior Staff
24296,Danco,Pfau,40000,1992-08-02,1993-08-02,Senior Staff
24508,Uzi,Penn,66662,1992-04-25,1993-04-25,Engineer
24917,Dung,Weedman,40000,1992-08-02,1993-08-02,Engineer
25429,Sugwoo,Valette,40000,1992-03-21,1993-03-21,Assistant Engineer
25453,Otilia,Jullig,40000,1989-12-17,1990-12-17,Assistant Engineer
26509,Moss,Serra,47812,1994-06-28,1995-06-28,Engineer
26622,Nechama,Matzke,77068,1991-09-12,1992-09-11,Senior Staff
26713,Cheong,Angiulli,45139,1989-12-17,1990-12-17,Senior Engineer
26904,Yechezkel,Peres,40000,1994-06-28,1995-06-28,Engineer
27485,Sugwoo,Beetstra,48025,1991-10-01,1992-09-30,Senior Engineer
27744,Mani,Khamsi,50321,1996-08-30,1997-08-30,Engineer
27864,Fumiya,Lanphier,40000,1992-09-08,1993-09-08,Senior Staff
27878,Kokou,Nishimukai,83592,1992-08-02,1993-03-31,Staff
28428,Sadegh,Apsitis,48582,1989-05-06,1990-05-06,Senior Staff
28581,Ziya,Gips,65428,1991-09-12,1992-09-11,Engineer
28734,Arvind,Heydon,83827,1989-05-06,1990-05-06,Senior Staff
28822,Shigehiro,Covnot,67858,1989-12-17,1990-12-17,Engineer
28986,Mariangiola,Marsiglia,45027,1991-03-07,1992-03-06,Staff
29485,Ortrun,Shobatake,55230,1988-09-09,1989-09-09,Senior Staff
29489,Zhonghui,Trumbly,40000,1992-08-02,1993-08-02,Senior Staff
29569,Vincent,Range,74201,1988-10-17,1989-10-17,Engineer
29661,Francesca,Kusakabe,40000,1989-12-17,1990-12-17,Assistant Engineer
29788,Radhia,Kaminger,50834,1988-09-09,1989-09-09,Engineer
30066,Ortrud,Kitai,40000,1991-09-12,1992-09-11,Senior Staff
30461,Badri,Jervis,56575,1991-09-12,1992-09-11,Senior Staff
30904,Fen,Tchuente,73089,1988-09-09,1989-09-09,Senior Staff
31651,Oscal,Zeilberger,65403,1996-01-03,1997-01-02,Senior Staff
31860,Danel,Bazelow,40000,1991-04-08,1992-04-07,Senior Engineer
32090,Arie,Foote,40000,1996-08-30,1997-08-30,Technique Leader
32964,Sariel,Kamber,40000,1992-08-02,1993-08-02,Senior Staff
33127,Mohan,Osgood,40000,1992-09-08,1993-09-08,Senior Staff
33769,Erzsebet,Haddadi,56270,1996-08-30,1997-08-30,Staff
33797,Shaibal,Parfitt,68242,1992-08-02,1993-06-28,Staff
34479,Uri,Stemann,48847,1991-03-07,1992-03-06,Engineer
35110,Reinhold,Speckmann,48028,1992-08-02,1993-08-02,Engineer
35136,Werner,Waterhouse,58261,1991-03-07,1992-03-06,Engineer
35150,Deborah,Roisin,86457,1992-09-08,1993-09-08,Senior Staff
35878,Yurij,Krohn,60218,1991-03-07,1992-03-06,Senior Staff
36487,Basem,Muhlberg,55277,1992-03-21,1993-03-21,Senior Engineer
36630,Lobel,Danlos,67446,1992-04-25,1993-04-25,Senior Staff
37054,Poorav,Pluym,40000,1994-06-28,1995-06-28,Engineer
37344,Stafford,Remmers,57940,1992-08-02,1993-08-02,Engineer
37440,Jayesh,Yoshizawa,89694,1996-08-30,1997-08-30,Senior Staff
37500,Xiaoqiang,Crouzet,40000,1988-10-17,1989-10-17,Senior Staff
37550,Piyawadee,Bernini,40000,1994-06-28,1995-06-28,Technique Leader
37987,Nadjib,Orsini,51970,1989-05-06,1990-05-06,Engineer
38140,Palash,Brizzi,44368,1992-09-08,1993-09-08,Engineer
38346,Goh,Falster,40000,1992-08-02,1993-08-02,Engineer
38443,Guangming,McFarlin,40000,1992-04-25,1993-04-25,Engineer
39002,Wojceich,Peek,101119,1988-09-09,1989-09-09,Senior Staff
39478,Emran,Demke,40000,1996-01-03,1997-01-02,Engineer
40019,Katsuo,Rodham,66272,1991-04-08,1992-04-07,Senior Staff
41224,Shigeaki,Braunmuhl,40000,1991-09-12,1992-09-11,Engineer
41427,Ekawit,Kusakabe,49601,1996-08-30,1997-08-30,Engineer
43867,Aemilian,Mitina,69955,1991-04-08,1992-04-07,Senior Staff
44595,Roselyn,Apsitis,46154,1991-10-01,1992-09-30,Senior Engineer
44750,Bernice,Coors,99844,1992-04-25,1993-04-25,Senior Staff
45344,Shigeo,Servieres,63050,1992-04-25,1993-04-25,Engineer
45690,Adit,Openshaw,40000,1992-08-02,1993-08-02,Senior Staff
45747,Garnet,Gonthier,40000,1988-10-17,1989-10-17,Senior Engineer
46159,Barun,Grabner,40736,1988-10-17,1989-10-17,Senior Staff
46281,Rosine,Berztiss,40000,1992-04-25,1993-04-25,Technique Leader
47197,Chiradeep,Tsunoo,47725,1992-03-21,1993-03-21,Engineer
47292,Frederique,Tagansky,41106,1989-12-17,1990-12-17,Technique Leader
47556,Shuji,Adachi,65406,1988-10-17,1989-10-17,Senior Staff
47624,Nakhoon,Kinley,76445,1992-09-08,1993-09-08,Senior Engineer
47630,Tooru,Walstra,40000,1989-12-17,1990-12-17,Engineer
49847,Parto,Encarnacion,43388,1992-03-21,1993-03-21,Senior Engineer
50072,Vincent,Schnabel,69153,1988-09-09,1989-09-09,Senior Staff
50387,Conor,Montemayor,40000,1996-08-30,1997-08-30,Engineer
51094,Constantino,Pettit,40000,1991-09-12,1992-09-11,Engineer
51179,Sasan,Barreiro,41261,1991-04-08,1992-04-07,Engineer
51504,Becky,Etalle,54741,1992-08-02,1993-08-02,Engineer
51869,Odoardo,Portugali,48222,1989-12-17,1990-12-17,Senior Staff
53216,Fumiyo,Birch,40000,1989-05-06,1990-05-06,Engineer
53504,Seongbae,Cairo,42138,1991-10-01,1992-09-30,Senior Engineer
54543,Jacqueline,Bridgland,70578,1988-09-09,1989-09-09,Senior Engineer
55214,Abdelaziz,Iisaku,40000,1996-01-03,1997-01-02,Senior Engineer
55327,Kinh,Pesch,56065,1991-04-08,1992-04-07,Engineer
55546,Filipe,Narwekar,44133,1989-12-17,1990-12-17,Senior Engineer
55733,Hatsukazu,Navazio,58341,1992-03-21,1993-03-21,Senior Engineer
55738,Mitsuyuki,Backhouse,40000,1996-01-03,1997-01-02,Engineer
55893,Jaewon,Krohm,40000,1994-06-28,1995-06-28,Engineer
56084,Jackson,Kirkerud,40000,1992-09-08,1993-09-08,Engineer
56338,Eberhardt,Sidou,55641,1989-12-17,1990-12-17,Engineer
56410,Jordanka,Iisaku,67570,1992-03-21,1993-03-21,Senior Engineer
56432,Kendra,Tchuente,40000,1989-05-06,1990-05-06,Engineer
56554,Feiyu,Chepyzhov,56578,1994-06-28,1995-06-28,Engineer
56729,Lucien,Nitsche,40000,1988-10-17,1989-10-17,Engineer
57431,Guadalupe,Androutsos,69977,1992-03-21,1993-03-21,Senior Staff
57444,Berry,Babb,48973,1992-03-21,1993-03-21,Assistant Engineer
58681,Makato,Azumi,40000,1988-09-09,1989-09-09,Engineer
58828,Valeska,Munro,40000,1992-04-25,1993-04-25,Senior Engineer
59074,Jianhao,Nishimukai,40000,1992-03-21,1992-11-23,Senior Engineer
59328,Tokuyasu,Kobuchi,40000,1996-08-30,1997-08-30,Senior Staff
59345,Udi,Irland,72071,1991-03-07,1992-03-06,Senior Staff
59410,Neelam,Bahr,41463,1991-03-07,1992-03-06,Senior Staff
60279,Serge,Beausoleil,64356,1989-12-17,1990-12-17,Technique Leader
60403,Richard,Chorvat,42573,1989-12-17,1990-12-17,Assistant Engineer
60837,Barun,Lukaszewicz,56859,1991-03-07,1992-03-06,Engineer
61643,Honglan,Pulkowski,44042,1989-05-06,1990-05-06,Technique Leader
62663,Gor,Orlowski,76046,1991-09-12,1992-09-11,Senior Staff
63014,Guoxiang,Syang,58904,1992-08-02,1993-08-02,Senior Staff
63850,Arumugam,Garnick,51798,1989-05-06,1990-05-06,Senior Staff
63985,Kristof,Ranta,54542,1989-05-06,1990-05-06,Engineer
64697,Jahangir,Barinka,59770,1992-09-08,1993-09-08,Engineer
64864,Mountaz,Berendt,48000,1988-10-17,1989-10-17,Engineer
64903,Larisa,Kakkar,77164,1996-08-30,1997-08-30,Staff
64948,Mechthild,Panienski,40000,1991-10-01,1992-09-30,Engineer
65183,Girolamo,Lemarechal,67005,1991-03-07,1992-03-06,Senior Engineer
65629,Nevio,Stafford,40000,1992-08-02,1993-08-02,Engineer
66096,Shay,Navazio,55389,1989-05-06,1990-05-06,Senior Staff
66121,Willard,Hemaspaandra,51293,1992-04-25,1993-04-25,Engineer
66373,Piyawadee,Munck,56440,1991-03-07,1992-03-06,Engineer
67356,Marl,Heiserman,45076,1991-03-07,1992-03-06,Engineer
68039,Panayotis,Baja,40000,1989-12-17,1990-12-17,Senior Engineer
68186,Angus,Pettis,50733,1992-03-21,1993-03-21,Engineer
68310,Surveyors,Fujisawa,41477,1991-10-01,1992-09-30,Technique Leader
68636,Itzchak,Cools,63420,1989-05-06,1990-05-06,Senior Staff
68763,Ranga,Pauthner,41684,1992-09-08,1993-09-08,Senior Engineer
68870,Arco,Rajcani,63887,1992-04-25,1993-04-25,Technique Leader
69194,Slavian,Stassinopoulos,55724,1991-04-08,1992-04-07,Engineer
69223,Eben,Karnin,47172,1994-06-28,1995-06-28,Engineer
69521,Bedir,Woycyznski,64090,1991-10-01,1992-09-30,Senior Staff
69576,Giao,Bamford,40000,1994-06-28,1995-06-28,Engineer
69984,Kinh,Ramras,55883,1991-09-12,1992-09-11,Senior Staff
70062,Denis,Birdsall,42394,1991-04-08,1992-04-07,Engineer
70188,Angel,Rassart,75289,1991-04-08,1992-04-07,Technique Leader
70692,Hercules,Klyachko,57223,1992-09-08,1993-09-08,Senior Staff
70804,Shih,Maksimenko,58811,1989-05-06,1990-05-06,Senior Staff
70895,Masasuke,Valette,70435,1996-08-30,1997-08-30,Staff
70935,Bernardo,Zolotykh,40000,1989-05-06,1990-05-06,Senior Staff
71162,Morrie,Gilg,63686,1992-09-08,1993-09-08,Technique Leader
71779,Hironoby,Cooman,69098,1996-08-30,1997-08-30,Engineer
72250,Zhilian,Hagimont,40828,1989-12-17,1990-12-17,Engineer
72814,Gererd,Brlek,74958,1992-04-25,1993-04-25,Senior Staff
73799,Cristinel,Farrag,63389,1989-12-17,1990-12-17,Assistant Engineer
74951,DAIDA,Kroft,54237,1992-09-08,1993-09-08,Technique Leader
75031,Zhenhua,Speel,49701,1992-08-02,1993-08-02,Senior Staff
75450,Mayumi,Gecsel,65407,1996-08-30,1997-08-30,Senior Staff
75577,Serap,Erni,73138,1991-10-01,1992-09-30,Assistant Engineer
75986,Yongmin,Sethi,56166,1989-12-17,1990-12-17,Engineer
76250,Fumiyo,Linnainmaa,40000,1991-03-07,1992-03-06,Assistant Engineer
76530,Honesty,Benner,40000,1988-09-09,1989-09-09,Engineer
76638,Bader,Pollock,40000,1989-05-06,1990-05-06,Assistant Engineer
76676,Florian,Suwa,69671,1991-10-01,1992-09-30,Senior Staff
76772,Gao,Garigliano,42932,1991-03-07,1992-03-06,Senior Engineer
77139,Sanjiv,Wolniewicz,87256,1991-09-12,1992-09-11,Senior Staff
77679,Feipei,Bain,40000,1991-03-07,1992-03-06,Engineer
78017,Geoffry,Mitsuhashi,40000,1992-03-21,1993-03-21,Engineer
78288,Ranga,Salinas,40000,1992-04-25,1993-04-25,Senior Staff
78633,Kristof,Seiwald,59168,1992-08-02,1993-08-02,Senior Engineer
78713,Boaz,Rabejac,58252,1991-03-07,1992-03-06,Engineer
78764,Yishai,Farrag,80863,1994-06-28,1995-06-28,Staff
78941,Pantung,Biran,75760,1991-10-01,1992-09-30,Senior Staff
79929,Aral,Auyong,40000,1992-03-21,1993-03-21,Engineer
80751,Zhensheng,Swan,49178,1991-09-12,1992-09-11,Senior Engineer
80779,Aamod,Andreotta,69353,1989-05-06,1990-05-06,Senior Staff
80814,Baziley,Vecchio,40000,1996-01-03,1997-01-02,Engineer
80914,Rosalyn,Denny,50087,1992-08-02,1993-08-02,Senior Staff
81767,Augustine,Matzov,64335,1988-10-17,1989-10-17,Senior Staff
81979,Ger,Ruemmler,69613,1996-01-03,1997-01-02,Senior Staff
82721,Arvind,Showalter,40000,1992-04-25,1993-04-25,Senior Staff
82967,Mountaz,Quadeer,40921,1991-03-07,1992-03-06,Senior Staff
83788,Yurii,Passino,40000,1992-04-25,1993-04-25,Technique Leader
84187,Martijn,Antonakopoulos,40000,1996-08-30,1997-08-30,Engineer
84328,Sudhanshu,Seghrouchni,48381,1991-03-07,1992-03-06,Engineer
84549,Remco,Morrin,60868,1989-05-06,1990-05-06,Engineer
85426,Carrsten,Luef,50330,1991-03-07,1992-03-06,Engineer
85465,Goetz,Granlund,43692,1992-04-25,1993-04-25,Technique Leader
85899,Chinhyun,Zaiane,40000,1991-09-12,1992-09-11,Senior Staff
86247,Sakthirel,Rebaine,40000,1989-12-17,1990-12-17,Technique Leader
86279,Bojan,Biran,59713,1988-10-17,1989-10-17,Engineer
86303,Sarita,Berstel,56802,1991-10-01,1992-09-30,Senior Engineer
86994,Elzbieta,Vitiello,40000,1992-08-02,1993-08-02,Engineer
87159,Lijia,Swist,61980,1988-10-17,1989-10-17,Senior Staff
87189,Atreye,Rijckaert,40000,1992-08-02,1993-08-02,Engineer
87794,JiYoung,Alameldin,46093,1996-01-03,1997-01-02,Engineer
87795,Steen,Ghelli,40000,1992-03-21,1993-03-21,Senior Engineer
88017,Gunilla,Portugali,40000,1991-03-07,1992-03-06,Senior Engineer
88076,Ravishankar,Kalefeld,62042,1988-09-09,1989-09-09,Senior Staff
88148,Youngkon,Reeken,49661,1991-09-12,1992-09-11,Senior Staff
88194,Luisa,Litzler,71534,1991-10-01,1992-09-30,Senior Staff
88320,Maria,Wroclawski,40000,1991-10-01,1992-09-30,Senior Staff
88432,Dines,Birnbaum,60960,1991-10-01,1992-09-30,Senior Staff
89070,George,Morris,40000,1989-05-06,1990-05-06,Engineer
89190,Mario,Gurbaxani,40000,1991-04-08,1992-04-07,Engineer
89331,Ranga,Narahara,40000,1992-09-08,1993-09-08,Engineer
89396,Kwok,Sanella,61436,1992-08-02,1993-08-02,Senior Staff
89682,Atreye,Ushiama,40000,1991-10-01,1992-09-30,Senior Staff
90185,Ugo,Homond,84394,1996-01-03,1997-01-02,Staff
90283,Dung,Camurati,40450,1992-04-25,1993-04-25,Engineer
90423,Tru,Frolund,40000,1996-01-03,1997-01-02,Senior Staff
90517,Charlene,Avouris,40000,1989-12-17,1990-12-17,Senior Staff
90804,Otmar,Setia,40000,1989-12-17,1990-12-17,Engineer
90925,Odinaldo,Bugrara,40000,1989-12-17,1990-12-17,Senior Staff
91336,Zhonghui,Feinberg,55600,1992-09-08,1993-09-08,Senior Engineer
92263,Takahiro,Spataro,42132,1989-05-06,1990-05-06,Senior Staff
92293,Frazer,Cardazo,40000,1991-09-12,1992-09-11,Engineer
92382,Moty,Pietracaprina,54290,1991-04-08,1992-04-07,Senior Staff
92851,Genki,Capobianchi,45494,1992-09-08,1993-09-08,Technique Leader
92902,Dmitri,Walstra,79335,1991-04-08,1992-04-07,Senior Staff
93067,Guenter,Garnick,79650,1994-06-28,1995-06-28,Senior Staff
93174,Jaewoo,Beznosov,61984,1992-08-02,1993-08-02,Technique Leader
93804,Mohammad,Zucker,40000,1992-09-08,1993-09-08,Engineer
93805,Constantine,Cappelli,40000,1988-09-09,1989-09-09,Senior Staff
93867,Kyoichi,Koblitz,56252,1992-08-02,1993-08-02,Engineer
94173,Valery,Lanphier,40000,1992-04-25,1993-04-25,Staff
95207,Marjo,Mahmud,74138,1989-12-17,1990-12-17,Assistant Engineer
95615,Neven,Bresenham,49208,1989-12-17,1990-12-17,Engineer
95669,Billur,Oskamp,54516,1988-10-17,1989-10-17,Engineer
95834,Lenore,Lienhardt,44294,1992-03-21,1993-03-21,Engineer
95989,Arie,Siksek,82969,1991-04-08,1992-04-07,Staff
96742,Mang,Erbe,40000,1989-12-17,1990-12-17,Senior Staff
96844,Tommaso,Maliniak,40000,1996-08-30,1997-08-30,Engineer
97370,Rayond,Baezner,40912,1991-03-07,1992-03-06,Engineer
97458,Zongyan,Spataro,53854,1991-04-08,1992-04-07,Senior Engineer
97667,Aiman,Lanphier,63051,1996-01-03,1997-01-02,Senior Engineer
97774,Evgueni,Farrar,40000,1991-10-01,1992-09-30,Assistant Engineer
97871,Alenka,Yavatkar,62599,1988-09-09,1989-09-09,Senior Staff
98035,King,Zobel,73947,1991-03-07,1992-03-06,Engineer
98119,Chriss,Laurillard,40000,1992-04-25,1993-04-25,Senior Staff
98183,Masami,Besselaar,54821,1988-09-09,1989-09-09,Senior Staff
98270,Kinh,Kawashimo,56835,1992-03-21,1993-03-21,Senior Staff
98352,Jianhua,Erdi,72571,1988-09-09,1989-09-09,Senior Staff
98577,Marjo,Senzako,48011,1991-09-12,1992-09-11,Engineer
98753,Franziska,Murillo,73479,1991-09-12,1992-09-11,Senior Staff
99455,Leaf,Lieblein,44497,1996-08-30,1997-08-30,Staff
99603,Sanjai,Wroclawski,82625,1991-03-07,1992-03-06,Senior Staff
99694,Guozhong,Passafiume,50339,1996-08-30,1997-08-30,Engineer
100509,Guther,Klassen,41053,1996-08-30,1997-08-30,Engineer
100833,Stabislas,Showalter,40000,1992-09-08,1993-09-08,Senior Engineer
100893,Shai,Vesel,65622,1988-10-17,1989-10-17,Senior Staff
101066,Sampalli,Senzako,64574,1994-06-28,1995-06-28,Senior Staff
101276,Shirish,Leonhardt,62370,1988-10-17,1989-10-17,Engineer
101702,Gully,Merel,40000,1991-10-01,1992-09-30,Engineer
102618,Bikash,Yoshimura,47169,1992-03-21,1993-03-21,Senior Staff
102868,Yuqun,Deyuan,72918,1994-06-28,1995-06-28,Staff
102908,Genta,Eiter,58577,1991-09-12,1992-09-10,Staff
103149,Nectarios,Bojadziev,66298,1991-10-01,1992-09-30,Staff
105978,Gaurav,Gluchowski,46608,1989-05-06,1990-05-06,Senior Staff
106434,Rajmohan,Birch,57181,1989-05-06,1990-05-06,Senior Staff
107104,Eirik,Waterhouse,54425,1992-04-25,1993-04-25,Senior Staff
107507,Adel,Grandbois,61150,1992-08-02,1993-08-02,Engineer
107930,Gennady,Teitelbaum,67152,1992-04-25,1993-04-25,Senior Staff
108019,Mamdouh,Eickenmeyer,49942,1988-10-17,1989-10-17,Engineer
108248,Christfried,Takkinen,80725,1996-01-03,1997-01-02,Senior Staff
109185,Heejo,Rullman,40000,1996-08-30,1997-08-30,Assistant Engineer
109699,Pintsang,Duclos,68285,1989-12-17,1990-12-17,Engineer
109952,Otilia,Baca,45968,1992-04-25,1993-04-25,Senior Engineer
110022,Margareta,Markovitch,71166,1985-01-01,1986-01-01,Manager
110085,Ebru,Alpin,60026,1985-01-01,1986-01-01,Manager
110183,Shirish,Ossenbruggen,48291,1985-01-01,1986-01-01,Manager
110303,Krassimir,Wegerle,42093,1985-01-01,1986-01-01,Manager
110511,DeForest,Hagimont,48626,1985-01-01,1986-01-01,Manager
110725,Peternela,Onuegbe,61357,1985-01-01,1986-01-01,Manager
111035,Przemyslawa,Kaelbling,71612,1985-01-01,1986-01-01,Manager
111400,Arie,Staelin,72446,1985-01-01,1986-01-01,Manager
111692,Tonny,Butterworth,40000,1985-01-01,1986-01-01,Manager
200782,Thodoros,Brobst,40000,1989-05-06,1990-05-06,Senior Staff
201011,Dietrich,Varker,40557,1988-10-17,1989-03-10,Senior Staff
201175,Weiye,Ertl,53125,1989-05-06,1990-05-06,Senior Staff
201660,Guozhong,Stellhorn,40000,1989-05-06,1990-05-06,Engineer
201708,Anneli,Perl,40000,1992-09-08,1993-09-08,Senior Staff
201982,Mohd,Klerer,47802,1991-09-12,1992-09-11,Engineer
202271,Josyula,Benner,71249,1996-08-30,1997-08-30,Staff
202336,Guangming,Anido,46685,1992-04-25,1993-04-25,Senior Staff
202374,Kenton,Krohm,59695,1991-03-07,1992-03-06,Senior Staff
202666,Akemi,Janetzko,65545,1991-10-01,1992-09-30,Senior Staff
202706,Slavian,Showalter,50750,1991-09-12,1992-09-11,Engineer
203078,Valery,Desikan,49690,1989-12-17,1990-12-17,Senior Staff
203602,Souichi,Zongker,50655,1992-04-25,1993-04-25,Engineer
204206,Nathalie,Picci,52432,1996-01-03,1997-01-02,Senior Staff
204723,Subbu,Ginneken,52020,1992-04-25,1993-04-25,Engineer
205539,Shawna,Trogemann,40223,1991-10-01,1992-09-30,Technique Leader
206337,Bodh,Sadowski,67104,1992-04-25,1993-04-25,Senior Staff
206486,Felicidad,Demian,40000,1991-10-01,1992-09-30,Senior Staff
206903,Ute,DuCasse,40000,1989-12-17,1990-12-17,Assistant Engineer
206912,Tuval,Gimarc,66016,1989-05-06,1990-05-06,Engineer
207330,Gennady,Beutelspacher,74500,1991-09-12,1992-09-11,Senior Staff
207476,Moie,Schwabacher,62694,1989-05-06,1990-05-06,Engineer
207854,Kazuhito,Assaf,40000,1994-06-28,1995-06-28,Senior Staff
207881,Noritoshi,Schiettecatte,80537,1988-09-09,1989-09-09,Senior Staff
208151,Kristine,Ramsak,40000,1989-12-17,1990-12-17,Engineer
208333,Martine,Isard,72879,1996-01-03,1997-01-02,Senior Staff
208446,Poornachandra,Lampe,63142,1996-01-03,1997-01-02,Staff
208957,Vivian,Kriebel,40000,1988-09-09,1989-09-09,Senior Staff
209655,Shaibal,Ligten,40000,1992-03-21,1993-03-21,Senior Staff
209978,Bilhanan,Dichev,73379,1991-03-07,1992-03-06,Senior Staff
210145,Lillian,Koprowski,45076,1992-04-25,1993-04-25,Assistant Engineer
211080,Elliott,Murtagh,54005,1991-04-08,1992-04-07,Engineer
211327,Hyuncheol,Besancenot,40000,1988-09-09,1989-09-09,Senior Engineer
211477,Fusako,Olano,57499,1991-09-12,1992-09-11,Technique Leader
211637,Kwee,Khamsi,40000,1992-08-02,1993-08-02,Senior Staff
212316,Wuxu,Toyoshima,61744,1988-09-09,1989-09-09,Senior Staff
212762,Kauko,Lung,43095,1988-10-17,1989-10-17,Senior Staff
212910,Zhenhua,Claffy,46774,1996-08-30,1997-08-30,Staff
214526,Masaru,Carrere,51133,1992-09-08,1993-09-08,Technique Leader
214716,Hironobu,Makrucki,69425,1988-10-17,1989-10-17,Senior Staff
214720,Tadahiro,Luders,46793,1989-12-17,1990-12-17,Senior Staff
214980,Somnath,Poehlman,40000,1992-04-25,1993-04-25,Technique Leader
215314,Amalendu,Luit,45222,1992-09-08,1993-09-08,Senior Engineer
215472,Susanta,Tischendorf,47335,1988-10-17,1989-10-17,Engineer
215928,Koldo,Zeilberger,40000,1988-09-09,1989-09-09,Assistant Engineer
216191,Yuuichi,Bernick,40000,1996-08-30,1997-08-30,Technique Leader
216515,Zongyan,Kampfer,40000,1988-10-17,1989-10-17,Senior Staff
216762,Shigeu,Ecklund,40000,1996-01-03,1997-01-02,Technique Leader
217041,Gao,Perin,41618,1992-09-08,1993-09-08,Technique Leader
217266,Paloma,Broder,40000,1992-09-08,1993-09-08,Assistant Engineer
217282,Arnd,Nollmann,52386,1989-05-06,1990-05-06,Engineer
217513,Arvind,Msuda,49034,1994-06-28,1995-06-28,Engineer
217648,Domenico,Gulak,40000,1992-03-21,1993-03-21,Engineer
218907,Chikako,Schade,40000,1996-01-03,1997-01-02,Staff
218912,Dzung,Ouhyoung,44840,1991-04-08,1992-04-07,Engineer
219434,Goh,Awdeh,52267,1992-03-21,1993-03-21,Engineer
219473,Parviz,Eickenmeyer,42255,1989-05-06,1989-05-20,Staff
219782,Subhrajyoti,Covnot,41125,1991-09-12,1992-09-11,Engineer
219856,Shmuel,Jording,52683,1991-10-01,1992-09-30,Engineer
219871,Brewster,Riexinger,40000,1994-06-28,1995-06-28,Engineer
220165,Sangeeta,Spinelli,40000,1988-10-17,1989-10-17,Engineer
220221,Genta,Landherr,40000,1991-04-08,1992-04-07,Senior Staff
220508,Nahla,Kroll,49123,1992-03-21,1993-03-21,Engineer
220564,Fumino,Frijda,68173,1989-12-17,1990-12-17,Senior Staff
220633,Kinh,Validov,40000,1992-04-25,1993-04-25,Engineer
221158,Nishit,Pezzoli,47868,1992-09-08,1993-09-08,Engineer
221568,Gregory,Porotnikoff,55977,1996-01-03,1997-01-02,Engineer
221975,Zhaofang,Hasenauer,62377,1992-03-21,1993-03-21,Senior Staff
222563,Radhakrishnan,Angelov,104196,1991-03-07,1992-03-06,Senior Staff
222661,Vivian,Skogmar,40000,1991-04-08,1992-04-07,Engineer
